NumeroChronique; DateDefaillance; TypeDefaillance; NombreAPUtouchees; Cause
43; 13/12/2038; Ind;1; HW
43; 19/8/2039; Ind;1; HW
43; 29/12/2039; Ind;1; HW
43; 11/4/2040; Ind;1; HW
43; 17/7/2040; Ind;1; HW
43; 14/8/2040; Ind;1; HW
43; 16/10/2040; Ind;1; HW
44; 27/4/2027; DCC NL;4; HW
44; 17/2/2032; Ind;1; HW
44; 16/6/2032; Ind;1; HW
44; 16/8/2034; DCC NL;3; FH
44; 21/12/2034; DCC NL;5; FH
44; 8/6/2036; Ind;1; HW
44; 18/5/2037; Ind;1; HW
44; 24/5/2038; Ind;1; HW
44; 21/9/2038; Ind;1; HW
44; 3/2/2039; Ind;1; HW
44; 30/11/2039; Ind;1; HW
44; 6/2/2040; Ind;1; HW
44; 2/5/2040; Ind;1; HW
44; 27/5/2040; Ind;1; HW
44; 3/6/2040; Ind;1; HW
44; 28/6/2040; Ind;1; HW
44; 25/12/2040; Ind;1; HW
45; 30/6/2016; DCC L;4; FH
45; 31/10/2030; Ind;1; HW
45; 8/7/2033; Ind;1; HW
45; 5/7/2036; Ind;1; HW
45; 5/8/2037; Ind;1; HW
45; 14/12/2037; Ind;1; HW
45; 15/4/2038; Ind;1; HW
45; 5/10/2038; Ind;1; HW
45; 1/12/2039; Ind;1; HW
45; 25/12/2040; Ind;1; HW
46; 11/4/2020; DCC NL;1; FH
46; 26/4/2021; DCC NL;2; FH
46; 26/1/2023; DCC NL;1; FH
46; 2/6/2026; DCC L;5; HW
46; 19/11/2029; DCC NL;2; HW
46; 19/11/2031; Ind;1; HW
46; 27/5/2034; Ind;1; HW
46; 18/7/2035; DCC NL;2; FH
46; 22/1/2036; Ind;1; HW
46; 25/11/2036; Ind;1; HW
46; 19/5/2037; Ind;1; HW
46; 24/5/2037; Ind;1; HW
46; 3/2/2039; Ind;1; HW
46; 7/6/2039; Ind;1; HW
46; 26/12/2039; Ind;1; HW
46; 1/3/2040; Ind;1; HW
46; 1/3/2040; DCC NL;1; FH
46; 21/5/2040; Ind;1; HW
46; 21/6/2040; Ind;1; HW
46; 13/8/2040; Ind;1; HW
46; 24/10/2040; Ind;1; HW
47; 3/4/2032; Ind;1; HW
47; 8/10/2033; Ind;1; HW
47; 31/12/2033; Ind;1; HW
47; 30/4/2034; Ind;1; HW
47; 28/4/2035; Ind;1; HW
47; 29/6/2036; Ind;1; HW
47; 1/5/2037; Ind;1; HW
47; 14/6/2037; Ind;1; HW
47; 31/8/2038; Ind;1; HW
47; 3/3/2039; Ind;1; HW
47; 22/12/2039; Ind;1; HW
48; 19/7/2019; DCC NL;7; HW
48; 17/9/2019; DCC L;12; SW
48; 4/6/2029; DCC NL;1; FH
48; 2/2/2030; Ind;1; HW
48; 14/8/2033; Ind;1; HW
48; 6/6/2034; Ind;1; HW
48; 15/2/2036; Ind;1; HW
48; 2/3/2036; Ind;1; HW
48; 9/11/2036; Ind;1; HW
48; 22/4/2037; Ind;1; HW
48; 20/5/2037; Ind;1; HW
48; 21/11/2037; Ind;1; HW
48; 19/10/2038; Ind;1; HW
48; 14/12/2038; Ind;1; HW
48; 29/1/2039; DCC L;12; SW
48; 10/3/2039; Ind;1; HW
48; 26/3/2039; Ind;1; HW
48; 14/12/2039; Ind;1; HW
48; 12/3/2040; Ind;1; HW
48; 27/3/2040; Ind;1; HW
48; 29/5/2040; Ind;1; HW
48; 27/11/2040; Ind;1; HW
49; 22/6/2020; DCC L;5; HW
49; 2/3/2028; DCC NL;2; FH
49; 1/7/2028; DCC L;5; FH
49; 5/8/2028; Ind;1; HW
49; 12/9/2034; DCC NL;4; HW
49; 18/1/2037; Ind;1; HW
49; 27/3/2037; Ind;1; HW
49; 27/10/2038; Ind;1; HW
49; 12/7/2039; Ind;1; HW
49; 14/2/2040; Ind;1; HW
49; 15/4/2040; Ind;1; HW
49; 24/4/2040; Ind;1; HW
49; 26/7/2040; Ind;1; HW
50; 18/12/2027; DCC NL;1; FH
50; 3/8/2029; Ind;1; HW
50; 19/11/2035; Ind;1; HW
50; 31/12/2035; Ind;1; HW
50; 4/4/2036; Ind;1; HW
50; 17/3/2037; DCC NL;4; FH
50; 30/7/2038; Ind;1; HW
50; 21/8/2038; Ind;1; HW
50; 19/4/2039; Ind;1; HW
50; 9/6/2039; Ind;1; HW
50; 13/12/2039; Ind;1; HW
50; 16/2/2040; Ind;1; HW
